ma_period,std_dev,total_return,volatility,sharpe_ratio,max_drawdown,win_rate,trade_count,final_value
60,1,-56.746583163805184,5.40124844652408,-10.506197544074073,56.748404187922986,35.38869911446662,5539,4325.341683619482
60,2,-39.617020991196604,4.892823693666126,-8.096964753191855,39.63545247269917,26.544244032984487,3172,6038.2979008803395
60,3,-22.124233226142508,3.9070717565252955,-5.662612463974405,22.150825514717443,13.142664432888754,1406,7787.576677385749
60,4,-10.986256602269751,2.9913779479680933,-3.672640767353458,10.99212730591018,4.516873001022606,446,8901.374339773025
60,5,-4.966552826140247,2.3058602424789596,-2.153882847991194,4.972820545966315,1.5524031243880683,160,9503.344717385975
60,6,-3.556482020960028,1.9927313868202217,-1.7847272565095011,3.562842738872623,0.827875807750049,78,9644.351797903997
120,1,-40.12955525651728,5.421321751371512,-7.402171849764334,40.169516878367496,35.93651346585095,3380,5987.044474348272
120,2,-23.73444410029957,4.788210176354423,-4.9568509372264336,23.761374028230247,26.446191025668934,1810,7626.555589970043
120,3,-13.403262174801544,3.9445945704466383,-3.397880805094735,13.543086516558962,12.9215562474146,768,8659.673782519845
120,4,-6.32843095758624,3.108524643102291,-2.0358310401781146,6.3766636293364725,4.883412074633689,262,9367.156904241376
120,5,-3.9126953401792175,2.493613323975702,-1.5690866352690949,3.9368809953655908,1.8146785395484533,86,9608.730465982078
120,6,-1.8619010178277162,1.8756926472682072,-0.9926471805172467,1.8866028682025717,0.979730465263112,42,9813.809898217229
180,1,-30.38697556728892,5.323395803259196,-5.708193921760392,30.43718645964722,36.119038800897584,2549,6961.302443271108
180,2,-16.621243976972988,4.668746939114754,-3.5601081390212514,16.668283648316805,25.748894359600012,1279,8337.875602302702
180,3,-8.549648658568476,3.820596168867591,-2.2377786818287464,8.664708140823713,12.903858303740659,545,9145.035134143152
180,4,-4.2789224432431165,2.952680013543355,-1.4491656473497132,4.350111558498176,5.64802509749243,209,9572.107755675688
180,5,-2.3035764128029212,2.308118939876597,-0.9980319354452685,2.303576412802922,2.0446177643188603,76,9769.642358719708
180,6,-0.9464966743069625,1.552524786127473,-0.6096499603512602,0.9464966743069635,1.307161064029106,38,9905.350332569304
240,1,-24.992157242702497,5.286831119447342,-4.727247131229538,25.035833353195592,35.95844869307406,2047,7500.78427572975
240,2,-12.675421899332672,4.66612015119162,-2.716479963786543,12.73941942600112,25.97828693510061,1003,8732.457810066733
240,3,-7.099707959721313,3.90682658449346,-1.8172570003236594,7.23854480039808,13.43114385995509,434,9290.02920402787
240,4,-4.029453748768974,3.1308901427411597,-1.2869994043422752,4.162427781982533,6.736282182642627,188,9597.054625123103
240,5,-1.4174428407909168,2.184302364130593,-0.6489224495964389,1.4812916763138522,2.5539011575941224,70,9858.255715920908
240,6,-0.6277966160277204,1.5743829183113371,-0.39875725830478836,0.8091674143705476,1.124893723703429,28,9937.220338397228
300,1,-21.546437975108223,5.2792805098279585,-4.0813209176889105,21.595907351409334,35.926354137126154,1755,7845.356202489178
300,2,-10.21348993210528,4.658908180780841,-2.192249672195403,10.419348381596409,25.21759996509675,839,8978.651006789472
300,3,-5.592796829302793,3.8496120399898146,-1.4528209001854615,5.799004739195571,14.136908008115007,383,9440.720317069721
300,4,-3.6760933316522304,3.1145272846251704,-1.180305386887835,3.888108657048313,7.596911062149604,170,9632.390666834777
300,5,-1.0444515799566734,2.0340452332122947,-0.5134849328336757,1.1800764224527007,2.7933509303898254,66,9895.554842004332
300,6,-0.8242763128370134,1.6940898766679313,-0.48655996602627993,0.9297712367438123,1.4081280949368469,30,9917.572368716299
360,1,-17.75839452319793,5.23605712533136,-3.391558590391449,17.822150515492392,35.93460086005544,1475,8224.160547680207
360,2,-8.663855905012674,4.693671231031446,-1.8458591321294506,8.837344300714701,25.897710156949206,708,9133.614409498732
360,3,-4.050970307598655,3.7794556941129804,-1.071839607462153,4.19918996106384,14.273864355722424,342,9594.902969240135
360,4,-2.9877065557263216,3.0195581099804567,-0.9894515842735873,3.152644832473766,7.259173560935146,138,9701.229344427367
360,5,-0.5341509244714882,2.1269237346599046,-0.25113778917742857,0.8209692995149528,3.4402217807950053,68,9946.584907552851
360,6,-0.5262306301903719,1.7645879881134794,-0.2982172800308841,0.6725489590745202,1.7288424177599264,32,9947.376936980963
420,1,-15.780174634012079,5.219761227120948,-3.0231602457256295,15.81908652554985,36.11323474803958,1274,8421.982536598793
420,2,-7.591633995598002,4.729887459109841,-1.6050348049986662,7.768242929876069,26.223760948865248,636,9240.8366004402
420,3,-4.023179175768831,3.8771467788738323,-1.0376649132013043,4.213690818474606,14.80745287346279,296,9597.682082423116
420,4,-2.662248834445269,3.1662327225135916,-0.8408253807483164,2.839407465622471,7.781612459317184,128,9733.775116555473
420,5,-1.859590627916663,2.6122641709368075,-0.7118692851227901,2.083221730288758,4.263777549638497,66,9814.040937208334
420,6,-0.3685978014210334,1.7200304958373314,-0.21429724781803683,0.6791819144974579,1.5224656516895656,26,9963.140219857896
480,1,-14.341590405509141,5.263320969102216,-2.7248177509408933,14.420303925204047,36.82323883630959,1122,8565.840959449086
480,2,-7.235160871033841,4.704378440426265,-1.5379631895384378,7.421293452449736,26.48357412952722,550,9276.483912896616
480,3,-3.636082012270403,3.9453808028647326,-0.9216048320684916,3.919289162468631,15.55594413236869,276,9636.39179877296
480,4,-3.067444882334347,3.3432487328355625,-0.917504238379747,3.2146738938296218,8.986688815545016,126,9693.255511766565
480,5,-1.8567430020654085,2.6478676461264796,-0.7012219831990493,2.0990254144712095,4.86874603833796,62,9814.325699793459
