Balance_DateTime,Price_DateTime,Time_Diff_Minutes,Balance,Equity,Balance_Change,Balance_Returns,Cumulative_PnL,Price_Close,Price_Open,Price_High,Price_Low,Price_Returns,ATR,Volatility_1h,Volatility_6h,Volatility_24h
2021-01-04 04:14:00,2021-01-04 04:00:00,14.0,9998.01,10000.14,-1.9899999999997817,-0.00019899999999994922,-1.9899999999997817,1.08294,1.08263,1.08318,1.0826,0.00028633974672787055,0.0005800000000000249,,,
2021-01-04 23:05:00,2021-01-04 23:00:00,5.0,9998.01,9995.68,0.0,0.0,-1.9899999999997817,1.08016,1.07869,1.08043,1.07869,0.0006206634614494,0.0017400000000000748,,0.0004276838511624213,0.0007318403202465622
2021-01-05 11:36:00,2021-01-05 12:00:00,24.0,9998.01,9998.01,0.0,0.0,-1.9899999999997817,1.08035,1.08111,1.08158,1.08023,-0.0006937378595874844,0.0013499999999999623,,0.0006389752003685531,0.000702664001954565
2021-01-06 09:54:00,2021-01-06 10:00:00,6.0,9995.69,9998.84,-2.319999999999709,-0.00023204617718919351,-4.309999999999491,1.0818,1.081,1.08189,1.08089,0.0007493131296314459,0.001000000000000112,,0.0003313048037453553,0.00038929412965898276
2021-01-07 23:08:00,2021-01-07 23:00:00,8.0,9995.69,9992.39,0.0,0.0,-4.309999999999491,1.08554,1.08457,1.08644,1.08428,-0.0006352245841121373,0.002160000000000162,,0.0004762551274905355,0.0005665469104806643
2021-01-08 10:52:00,2021-01-08 11:00:00,8.0,9995.69,9995.69,0.0,0.0,-4.309999999999491,1.08432,1.08424,1.08475,1.08382,8.300821781359602e-05,0.0009300000000000974,,0.00034283795731543723,0.0005893373625278338
2021-01-12 12:05:00,2021-01-12 12:00:00,5.0,9997.04,9995.54,1.3500000000003638,0.00013505821008852337,-2.959999999999127,1.08118,1.08117,1.08141,1.08074,1.84986495987971e-05,0.0006699999999999484,,0.0004660213929433273,0.0005090420837294414
2021-01-12 13:41:00,2021-01-12 14:00:00,19.0,9997.04,9996.9,0.0,0.0,-2.959999999999127,1.08118,1.08151,1.08152,1.08058,-0.0003051289400929358,0.0009399999999999409,,0.00047178195885943684,0.00040959807514757946
2021-01-12 13:43:00,2021-01-12 14:00:00,17.0,9997.04,9997.04,0.0,0.0,-2.959999999999127,1.08118,1.08151,1.08152,1.08058,-0.0003051289400929358,0.0009399999999999409,,0.00047178195885943684,0.00040959807514757946
2021-01-12 14:46:00,2021-01-12 15:00:00,14.0,9998.24,9996.74,1.1999999999989086,0.00012003553051687099,-1.7600000000002183,1.08136,1.08121,1.08181,1.08102,0.00016648476664382628,0.0007899999999998464,,0.0004891414385811531,0.00039817124739564884
2021-01-12 17:19:00,2021-01-12 17:00:00,19.0,9998.24,9998.19,0.0,0.0,-1.7600000000002183,1.08218,1.08134,1.08258,1.08133,0.0007768139530581752,0.0012500000000001954,,0.00036599811799711206,0.0003890266356969911
2021-01-12 17:21:00,2021-01-12 17:00:00,21.0,9998.24,9998.24,0.0,0.0,-1.7600000000002183,1.08218,1.08134,1.08258,1.08133,0.0007768139530581752,0.0012500000000001954,,0.00036599811799711206,0.0003890266356969911
2021-01-13 12:04:00,2021-01-13 12:00:00,4.0,9997.67,9998.94,-0.569999999999709,-5.701003376590297e-05,-2.3299999999999272,1.08104,1.08165,1.08187,1.08097,-0.0005547132132687205,0.0009000000000001229,,0.0003197087171727227,0.00031418839271579925
2021-01-14 08:58:00,2021-01-14 09:00:00,2.0,9997.67,9995.02,0.0,0.0,-2.3299999999999272,1.07812,1.07804,1.07847,1.07796,5.565552937669693e-05,0.0005100000000000104,,0.00017590947048377344,0.0003103786670066718
2021-01-14 11:13:00,2021-01-14 11:00:00,13.0,9997.67,9997.67,0.0,0.0,-2.3299999999999272,1.08047,1.07944,1.08112,1.07909,0.000954198473282597,0.0020299999999999763,,0.0006307253652925578,0.00046217358849578663
2021-01-15 10:36:00,2021-01-15 11:00:00,24.0,9996.67,9997.88,-1.0,-0.00010002330543013027,-3.3299999999999272,1.07654,1.07715,1.07744,1.07637,-0.0005570306552536985,0.0010699999999999044,,0.0003726864302065304,0.0004846093917401414
2021-01-18 12:44:00,2021-01-18 13:00:00,16.0,9996.67,9994.08,0.0,0.0,-3.3299999999999272,1.07453,1.07439,1.07483,1.07422,0.00012099776619511893,0.0006099999999999994,,0.0004902630981465863,0.0005202234456335057
2021-01-19 01:41:00,2021-01-19 02:00:00,19.0,9996.67,9996.67,0.0,0.0,-3.3299999999999272,1.07683,1.0766,1.0772,1.07656,0.0002136355192272621,0.0006399999999999739,,0.0003314393856979134,0.00040635990284707815
2021-01-19 08:48:00,2021-01-19 09:00:00,12.0,9998.21,9996.44,1.5399999999990541,0.0001540512990825249,-1.7900000000008731,1.07718,1.07758,1.07778,1.07656,-0.00038047866071511116,0.0012199999999999989,,0.0002356236458681999,0.00040147289037725103
2021-01-19 10:42:00,2021-01-19 11:00:00,18.0,9998.21,9998.02,0.0,0.0,-1.7900000000008731,1.07591,1.0762,1.0768,1.07559,-0.00026946664188820524,0.0012099999999999334,,0.00039162622404642194,0.0003737706157112937
2021-01-19 10:43:00,2021-01-19 11:00:00,17.0,9998.21,9998.21,0.0,0.0,-1.7900000000008731,1.07591,1.0762,1.0768,1.07559,-0.00026946664188820524,0.0012099999999999334,,0.00039162622404642194,0.0003737706157112937
2021-01-20 08:09:00,2021-01-20 08:00:00,9.0,9998.77,9996.7,0.5600000000013097,5.601002579469494e-05,-1.2299999999995634,1.07862,1.07888,1.07926,1.07826,-0.0002687897971102027,0.001000000000000112,,0.0002998554963016838,0.0003827018698943371
2021-01-20 09:29:00,2021-01-20 09:00:00,29.0,9998.77,9999.03,0.0,0.0,-1.2299999999995634,1.07767,1.07861,1.07898,1.0769,-0.0008807550388459928,0.002080000000000082,,0.0005081285938102631,0.00041853961134450404
2021-01-20 15:54:00,2021-01-20 16:00:00,6.0,9998.77,9998.77,0.0,0.0,-1.2299999999995634,1.07771,1.07738,1.07826,1.07666,0.00030629861330266905,0.0016000000000000458,,0.00023630822286101265,0.000317693848492524
2021-01-21 09:49:00,2021-01-21 10:00:00,11.0,9999.98,9998.07,1.2099999999991269,0.00012101488483073908,-0.020000000000436557,1.07748,1.07639,1.07755,1.07601,0.0010126441159803434,0.0015400000000000968,,0.0008253171444923004,0.0004535283533215147
2021-01-21 10:56:00,2021-01-21 11:00:00,4.0,9999.98,9999.88,0.0,0.0,-0.020000000000436557,1.07741,1.07747,1.07764,1.07666,-6.49664030887287e-05,0.0009799999999999809,,0.0008128955021977623,0.0004532600611885205
2021-01-21 11:34:00,2021-01-21 12:00:00,26.0,9999.98,9999.98,0.0,0.0,-0.020000000000436557,1.0765,1.07741,1.07764,1.07629,-0.0008446181119536877,0.0013499999999999623,,0.0008493955762776924,0.0004836742221090813
2021-01-21 12:34:00,2021-01-21 13:00:00,26.0,10001.06,9999.84,1.0799999999999272,0.00010800021600032572,1.0599999999994907,1.07677,1.0765,1.07742,1.07644,0.0002508128193219328,0.0009799999999999809,,0.0008771642791213781,0.0004871218455291185
2021-01-21 14:06:00,2021-01-21 14:00:00,6.0,10001.06,10000.9,0.0,0.0,1.0599999999994907,1.07772,1.07678,1.07793,1.07659,0.0008822682652749325,0.0013400000000001189,,0.0009856881473356335,0.0005193789627720549
2021-01-21 14:36:00,2021-01-21 15:00:00,24.0,10001.06,10001.06,0.0,0.0,1.0599999999994907,1.07623,1.07775,1.07835,1.07599,-0.001382548342797718,0.0023599999999999177,,0.0009478628849085797,0.000588627670601496
2021-01-21 15:59:00,2021-01-21 16:00:00,1.0,10001.94,10000.46,0.8800000000010186,8.799067298870256e-05,1.9400000000005093,1.07677,1.07622,1.07712,1.07622,0.0005017514843481674,0.0009000000000001229,,0.0008544111357817532,0.000595007191892487
2021-01-21 22:57:00,2021-01-21 23:00:00,3.0,10001.94,10001.62,0.0,0.0,1.9400000000005093,1.07673,1.07657,1.07753,1.07609,-0.00031567121914077845,0.0014400000000001079,,0.0002808741974883038,0.000596816669176306
2021-01-21 23:11:00,2021-01-21 23:00:00,11.0,10001.94,10001.94,0.0,0.0,1.9400000000005093,1.07673,1.07657,1.07753,1.07609,-0.00031567121914077845,0.0014400000000001079,,0.0002808741974883038,0.000596816669176306
2021-01-21 23:18:00,2021-01-21 23:00:00,18.0,10001.86,10000.51,-0.07999999999992724,-7.998448301016481e-06,1.860000000000582,1.07673,1.07657,1.07753,1.07609,-0.00031567121914077845,0.0014400000000001079,,0.0002808741974883038,0.000596816669176306
2021-01-22 01:16:00,2021-01-22 01:00:00,16.0,10001.86,10001.86,0.0,0.0,1.860000000000582,1.07716,1.07711,1.07753,1.07685,4.642051415348902e-05,0.0006800000000000139,,0.0002840034412657044,0.0005806156035227421
2021-01-22 08:56:00,2021-01-22 09:00:00,4.0,10002.81,10001.79,0.9499999999989086,9.498233328586458e-05,2.8099999999994907,1.07718,1.07644,1.0776,1.0764,0.0006874512281223044,0.0011999999999998678,,0.0003961249908268224,0.0005198943294673321
2021-01-22 09:35:00,2021-01-22 10:00:00,25.0,10002.81,10002.7,0.0,0.0,2.8099999999994907,1.07732,1.07717,1.07769,1.0769,0.00012996899311157328,0.0007900000000000684,,0.0003945592800651616,0.0004768487362992226
