delay,period,std_dev,total_return,sharpe_ratio,max_drawdown,trade_count,final_value
120,360,5,1.3073221372062127,0.6176707260251234,0.5617143328647076,68,10130.732213720621
60,360,5,1.2522224957814743,0.6064731825494362,0.5912486503561698,68,10125.222249578148
135,360,5,1.2174023754243812,0.5750474319298245,0.5892047101259212,68,10121.740237542439
105,360,5,1.1788835665973885,0.5577181268389289,0.5878744774732438,68,10117.88835665974
150,360,5,1.1622617352414988,0.5531588470018032,0.5975043779764908,68,10116.22617352415
165,360,5,1.1608786014979389,0.5467235012118117,0.6403520257493562,68,10116.087860149793
180,360,5,1.1118315043175286,0.5240468720546276,0.6512374403908618,68,10111.183150431752
75,360,5,1.0813200500408682,0.5219269122562837,0.5971240182194865,68,10108.132005004087
90,360,5,1.066900332000964,0.5128640799602487,0.5686036531327963,68,10106.690033200097
45,360,5,1.0443703798926007,0.5056947828150558,0.648409742237853,68,10104.43703798926
