delay,period,std_dev,total_return,sharpe_ratio,max_drawdown,trade_count,final_value
15,60,1,-48.40317120276454,-9.218559833388516,48.40780796996512,5539,5159.682879723546
15,60,2,-32.41066688664647,-6.89975074271798,32.43291459043381,3172,6758.933311335353
15,60,3,-17.079877345811,-4.603283931552755,17.109167186975277,1406,8292.0122654189
15,60,4,-8.21480281543121,-3.0030660649492726,8.229114264027375,446,9178.519718456879
15,60,5,-3.6964382996120926,-1.7958519982687509,3.7108722866774766,160,9630.35617003879
15,60,6,-2.623667713822031,-1.5315109670134384,2.63826248784575,78,9737.633228617797
15,120,1,-32.60106044670849,-6.179101239128922,32.65336926644141,3380,6739.893955329151
15,120,2,-18.238230787795395,-3.9173966623952747,18.268078349836497,1810,8176.176921220461
15,120,3,-10.020549875067841,-2.653342708744236,10.184163940520682,768,8997.945012493215
15,120,4,-4.429985900498301,-1.5241941060463284,4.482615928062024,262,9557.00140995017
15,120,5,-2.8581939158888403,-1.2613720159145294,2.8814809364052234,86,9714.180608411116
15,120,6,-1.2015740135885467,-0.7253972496927426,1.2252581622128673,42,9879.842598641146
15,180,1,-23.65795792338783,-4.525190250099514,23.721319855890354,2549,7634.204207661217
15,180,2,-12.38934850895561,-2.681270335462485,12.43982047275633,1279,8761.06514910444
15,180,3,-6.119032605801678,-1.63709195015458,6.249469412811376,545,9388.096739419832
15,180,4,-2.911374240833442,-1.0215558020864737,2.9975008959590728,209,9708.862575916655
15,180,5,-1.6874127525673743,-0.7842973652969426,1.7057746550048565,76,9831.258724743262
15,180,6,-0.6405362884299604,-0.4335771409081923,0.6662929136940087,38,9935.946371157004
15,240,1,-19.23049189974878,-3.7024201237810233,19.284825559685114,2047,8076.950810025122
15,240,2,-9.028724323371351,-1.957589402296293,9.148992236463176,1003,9097.127567662865
15,240,3,-4.996203127916965,-1.3077497879144644,5.183476875809225,434,9500.379687208304
15,240,4,-3.06750293200736,-0.9961535975956078,3.2296715066909973,188,9693.249706799264
15,240,5,-0.9576432517616418,-0.44851809925424346,1.1462457518213403,70,9904.235674823836
15,240,6,-0.3747944591887209,-0.24562807522475752,0.5899153653237009,28,9962.520554081128
15,300,1,-16.343158680198865,-3.147631123962725,16.395897880202373,1755,8365.684131980113
15,300,2,-6.9125304837820085,-1.5059762963968442,7.1936211756768715,839,9308.746951621799
15,300,3,-3.8551661287271055,-1.017982405044717,4.126103706611919,383,9614.48338712729
15,300,4,-2.823590383006336,-0.9193106122579379,3.04794715529365,170,9717.640961699366
15,300,5,-0.5568441356004095,-0.281664597841346,0.8641852590198715,66,9944.31558643996
15,300,6,-0.5346968745485126,-0.32491796724364747,0.6644036174078172,30,9946.530312545148
15,360,1,-12.719849378133464,-2.4700385445457833,12.783315033649254,1475,8728.015062186654
15,360,2,-5.240390248326399,-1.139129589485437,5.510030196633033,708,9475.96097516736
15,360,3,-2.3596853767067882,-0.6354491177982481,2.6606832216684233,342,9764.031462329322
15,360,4,-2.312048235746411,-0.7750798856722014,2.480477276318105,138,9768.79517642536
15,360,5,-0.026294035627272283,-0.012676634999772618,0.7806816510546221,68,9997.370596437273
15,360,6,-0.23242575674443655,-0.13526401288476833,0.5605394665542736,32,9976.757424325557
15,420,1,-11.207344163587695,-2.1762174649587034,11.285459193448808,1274,8879.26558364123
15,420,2,-4.713179530464407,-1.011096034490088,4.922525281218786,636,9528.68204695356
15,420,3,-2.6686422117977004,-0.6955096551808845,2.9754835979220693,296,9733.13577882023
15,420,4,-1.9804127127327376,-0.6319617964082107,2.156462790105315,128,9801.958728726726
15,420,5,-1.376230664362521,-0.5344380600132608,1.596283981540491,66,9862.376933563748
15,420,6,-0.16796217540366865,-0.09960190171218825,0.5728069931619939,26,9983.203782459634
15,480,1,-10.099202880174706,-1.945671474431889,10.236463376394614,1122,8990.07971198253
15,480,2,-4.706863442226927,-1.0122885726045974,4.938900319643007,550,9529.313655777307
15,480,3,-2.464454694518514,-0.6301440446890045,2.8456605749329476,276,9753.554530548148
15,480,4,-2.526657750698469,-0.7624493456762899,2.6852385021718774,126,9747.334224930153
